title,location,size,rental fee
4 Bed Townhouse with En Suite at Lavington,"Chalbi Road, lavington, Lavington",4 Bedroom Townhouse For Rent in Lavington,"KSh 220,000"
4 Bed Townhouse with En Suite at Maziwa,"Maziwa, Lavington",Magnificent secure 4 bedrooms corner townhouse...,"KSh 220,000"
4 Bed Townhouse with En Suite at Kileleshwa,Kileleshwa,Stunning secure 4 bedrooms townhouse plus famil...,"KSh 150,000"
4 Bed Townhouse with En Suite at Spring Valley / Kyuna,"Spring valley / Kyuna, Kyuna, Westlands",Kyuna Estate - 4 bedrooms Executive villas – T...,"KSh 270,000"
5 Bed Townhouse with En Suite at Kitisuru,"Kitisuru, Westlands",Amazing 5 Bedroom Family Home For Rent nestled...,"KSh 400,000"
5 Bed House with En Suite at Loresho,"01, Loresho, Westlands",Enchanting 5 bedroom Family House to Let In Lor...,"KSh 300,000"
4 Bed Townhouse with En Suite at Kitisuru,"Kitisuru, Westlands",Lovely 4 bedroom house to let in Kitusuru,"KSh 320,000"
5 Bed House with En Suite at Loresho,"01, Loresho, Westlands",CHARMING 5 BEDROOM BUNGALOW FOR RENT IN LORESHO,"KSh 300,000"
4 Bed House with En Suite at Loresho,"loresho, Loresho, Westlands",Enchanting 4-bedroom Cottage plus 2 Dsq To Let...,"KSh 350,000"
4 Bed House with En Suite at Loresho,"01, Loresho, Westlands",Charming and Homely Four Bedroom Cottage for Re...,"KSh 130,000"
1 Bed House with En Suite in Riverside,"Riverside, Westlands","Furnished One Bedroom Cottage For Rent,Riversid...","KSh 150,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,BRAND NEW FOR RENT-350K,"KSh 350,000"
2 Bed House with En Suite at Nyari,"01, nyari, Nyari, Westlands",FURNISHED CONTEMPORARY 2 BEDROOM GUEST-WING AVA...,"KSh 270,000"
5 Bed House with En Suite at Nyari,"01, nyari, Nyari, Westlands",Stunning Five Bedroom Detached Home in Nyari wi...,"KSh 280,000"
6 Bed House with En Suite at Nyari,"01, nyari, Nyari, Westlands",Beautiful Six Bedroom Stand-Alone Home in Nyari...,"KSh 330,000"
6 Bed House with En Suite at Nyari,"01, nyari, Nyari, Westlands",AN URBAN PARADISE! MAGICAL 6 BEDROOM MAISONETTE...,"KSh 380,000"
4 Bed Townhouse with En Suite at Kyuna,"01, kyuna, Kyuna, Westlands",Comfortable and Modern 4-Bedroom Townhouse avai...,"KSh 250,000"
5 Bed Townhouse with En Suite at Kyuna,"01, kyuna, Kyuna, Westlands",Ultimate Luxury! Kyuna 5-bedroom Villa in a Gat...,"KSh 550,000"
4 Bed House with En Suite at Runda,"Runda, Westlands",Modern 4 bedroom house to let in Runda,"KSh 200,000"
5 Bed House with En Suite at Lower Kabete,"01, Lower Kabete, Westlands",Executive 5 Bedroom House All En-suite + Dsq fo...,"KSh 380,000"
