title,location,size,rental fee
4 Bed House with En Suite at Off Paradise Lost Road,"Off Paradise Lost Road, Kiambu Road",4Br House To Let In Runda Paradise Estate Along...,"KSh 140,000"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,Kiambu Road Four Bedroom Townhouse With A DSQ.,"KSh 270,000"
4 Bed House with En Suite at Bongani Road,"Bongani road, Karen",4 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,"KSh 250,000"
4 Bed Townhouse with Garden in Kileleshwa,Kileleshwa,Kileleshwa 4 bed,"KSh 140,000"
4 Bed House with En Suite at Mwimuto,"Mwimuto, Lower Kabete, Westlands",Stunning Four bedroom all ensuite house to let...,"KSh 180,000"
4 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",Four Bedroom House,"KSh 350,000"
4 Bed Townhouse with Garden at Old Muthaiga,"Old Muthaiga, Muthaiga","4br Townhouse, Old Muthaiga","KSh 350,000"
4 Bed Townhouse with En Suite in Brookside,"Brookside, Westlands",4 bedroom townhouse for rent in Westlands,"KSh 95,000"
10 Bed House with En Suite at Thigiri Road,"44, Thigiri Road, Thigiri, Westlands",A 10 bedrooms luxurious Ambassadorial home for...,"KSh 1,600,000"
4 Bed Townhouse with En Suite in Karen,Karen,KAREN- LOVELY 4 BEDROOM APARTMENT FOR RENT,"KSh 250,000"
4 Bed Townhouse with Garden in Kilimani,Kilimani,4 Bedroom Double Storey Townhouse,"KSh 220,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,Lavington a homely 4bedrooms all ensuite townho...,"KSh 230,000"
4 Bed House with En Suite in Muthaiga,Muthaiga,A 4 bedroom family house to let in muthaiga,"KSh 360,000"
4 Bed House with En Suite in Karen,Karen,4 bedroom double-storey house to rent in Karen...,"KSh 450,000"
2 Bed House with En Suite at Karen,"karen, Karen",Lovely Two bedroom cottage,"KSh 175,000"
3 Bed House with En Suite at Kilimani Road,"kilimani road, Kilimani",three bedrooms to lent kilimani,"KSh 120,000"
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",5 bedrooms town house with 2 Dsq.,"KSh 700,000"
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",5 bedrooms town house with 2 Dsq.,"KSh 700,000"
5 Bed House with Garden in Runda,"Runda Nairobi, Runda, Westlands",A 5bdrm ambassadorial house to let in runda.,"KSh 5,500"
4 Bed Villa with En Suite at Grevillea Road,"A 70, Grevillea Road, Westlands Area, Westlands",Letting a four bedroom all ensuite plus servant...,"KSh 270,000"
4 Bed House with En Suite at Ibis Road Nyari,"Ibis road nyari, Nyari, Westlands",Excutive 4 bedroom bungalow in nyari for let,"KSh 550,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,ELEGANT 5 BEDROOM ALL ENSUITE TO LET IN LAVINGT...,"KSh 250,000"
6 Bed Villa in Kileleshwa,Kileleshwa,6 BEDROOMS EXQUISITE SEMI FURNISHED VILLA,"KSh 400,000"
2 Bed House with En Suite in Nyari,"Nyari, Westlands",Prestigious Nyari Two Bedroom Cottage to let,"KSh 120,000"
4 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",Modern 4 Bedroom Townhouse to Let in Kitisuru,"KSh 400,000"
3 Bed House with En Suite at Karen,Karen,3 BEDROOM HOUSE FOR RENT IN KAREN,"KSh 200,000"
2 Bed House with En Suite at Runda Mimosa,"Runda Mimosa, Runda, Westlands",A2bed room house to rent,"KSh 100,000"
6 Bed House in Thika,Thika,House to rent in Thika (Kenya) 3KE1609711,"KSh 250,000"
4 Bed Townhouse with En Suite at Spring Valley.,"0713n, Spring Valley., Lower Kabete, Westlands",Stylish elegant four bedroom villa perfect for...,"KSh 250,000"
4 Bed Townhouse with En Suite at Behind Runda,"Behind Runda, Runda, Westlands","4br Townhouse, Runda, Off Kiambu Rd","KSh 250,000"
4 Bed House with En Suite in Lavington,Lavington,4 bedroom plus sq to let in lavington,"KSh 140,000"
4 Bed Townhouse with En Suite in Loresho,"Loresho, Westlands",Spectacular 4 Bedroom Townhouse For Rent in Lo...,"KSh 170,000"
4 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",Classic 4 Bedroom House For Rent in Kitisuru,"KSh 400,000"
4 Bed House with En Suite at Nyali,"nyali, Nyali Area, Nyali",Executive 4 bedroom own compound villa in a sh...,"KSh 280,000"
5 Bed House with En Suite at Mimosa Road,"89, Mimosa Road, Runda, Westlands",Mimosa Drive 5 Bedroom House to Rent with one...,"KSh 400,000"
4 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands",FOUR BEDROOM TOWNHOUSES WITH POOL IN SPRING VAL...,"KSh 250,000"
4 Bed House with En Suite in Runda,"Runda, Westlands",Stunning 4-bedroom house in Runda,"KSh 380,000"
5 Bed House with En Suite at Marist Road,"Marist road, Karen",5 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,"KSh 450,000"
4 Bed House with Garden in Lavington,"Lavington Nairobi., Lavington",A 4bdrm family house to let in lavington.,"KSh 250,000"
1 Bed House at Puma Close,"puma close, Kitisuru, Westlands",1 Bedroom house to rent (FULLY FURNISHED).,"KSh 65,000"
3 Bed Villa with Garden at Eldama Ravin Road,"Eldama Ravin Road, Brookside, Westlands",3 Bedroom Villa,"KSh 250,000"
4 Bed Villa with En Suite at Msambweni,"Msambweni, Diani","Msambweni Beach villa,available for Holiday Boo...","KSh 30,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,MODERN 4 BEDROOOMS ALL ENSUITE FOR RENT IN LAVI...,"KSh 350,000"
5 Bed House with En Suite in Runda,"Runda, Westlands",5 bedroom house for rent in runda,"KSh 380,000"
4 Bed House with Garden in Runda,"Runda Nairobi, Runda, Westlands",A 4bdrm family house to let in runda.,"KSh 330,000"
4 Bed House with En Suite at Bomas Of Kenya,"Bomas of Kenya, Karen",4 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,"KSh 140,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,Spacious 4 Bedrooms ensuite plus Dsq and Family...,"KSh 240,000"
4 Bed Townhouse with En Suite at Lonetree,"Lonetree, Rosslyn, Westlands","4br Townhouse, Rosslyn","KSh 430,000"
4 Bed Villa with En Suite at Karen,"karen, Karen",Lovely 4 BEDROOMS family home for rent with a s...,"KSh 380,000"
5 Bed House with En Suite in Muthaiga,Muthaiga,Charming and Rustic! Muthaiga North Five Bedroo...,"KSh 200,000"
5 Bed Townhouse with En Suite in Karura,"Karura, Westlands",5 BEDROOOM APARTMENT FOR RENT WESTLANDS,"KSh 250,000"
4 Bed Townhouse with En Suite at Within Spring Valley.,"0720n/0723p, within Spring Valley., Spring Valley, Westlands",Stylish elegant four bedroom villa perfect for...,"KSh 250,000"
1 Bed House with En Suite at Runda Evergreen,"Runda evergreen, Runda, Westlands",Fully furnished one(1) bedroom Geust wing for r...,"KSh 60,000"
1 Bed House with En Suite in Nyari,"Nyari, Westlands","Executive One Bedroom unit to let Nyari, Westla...","KSh 100,000"
3 Bed Townhouse with En Suite in Riverside,"Riverside, Westlands",Spacious 3 Bedrooms plus dsq Townhouse to Let o...,"KSh 150,000"
5 Bed House with En Suite at Nyali,"nyali, Nyali Area, Nyali",5 bedroom villa in a shared compound with a poo...,"KSh 130,000"
4 Bed House with En Suite in Kiambu Road,Kiambu Road,Luxury 4 Bedroom Townhouse To Let Along Kiambu...,"KSh 250,000"
5 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",Gorgeous Five Bedroom Villa To Let in Rosslyn w...,"KSh 450,000"
3 Bed Townhouse with En Suite in Karen Hardy,Karen Hardy,Executive 3 bedroom townhouse all ensuite,"KSh 150,000"
5 Bed House with En Suite in Lavington,Lavington,5 Bedroom House In Lavington Gated community,"KSh 350,000"
4 Bed House with Garden in Muthaiga,Muthaiga,4 Bedroom House To Let in Muthaiga,"KSh 723,000"
6 Bed House with En Suite at Nyari,"Nyari, Westlands",6 bedroom house to Let in Nyari estate,"KSh 350,000"
5 Bed House with Garden at Lower Kabete Road,"Lower kabete road, Lower Kabete, Westlands",Stunning Family Home Overlooking A Forested Are...,"KSh 450,000"
4 Bed Townhouse in Karen,Karen,4 BEDROOM 300K,"KSh 300,000"
4 Bed House with En Suite at Karen Kcb,"O, Karen kcb, Karen",4 BEDROOM HOUSE FOR RENT IN KAREN,"KSh 130,000"
4 Bed House in Karen Hardy,Karen Hardy,Four bedrooms plus sq full furnished Karen for...,"KSh 420,000"
4 Bed House with En Suite at Redhill Off Limuru Rd,"01, Redhill Off Limuru Rd, Tigoni, Limuru",Executive 4 Bedroom House all en-suite + Dsq fo...,"KSh 140,000"
4 Bed House with En Suite at Ngecha Road,"78, Ngecha Road, Kitisuru, Westlands",Sandwiched between built homes,"KSh 400,000"
2 Bed House with En Suite at Westlands,"0720n/0723p, within Rhapta Road, Westlands, Rhapta Road",Superb two Bedroom fully furnished apartment wi...,"KSh 170,000"
6 Bed House with En Suite in Kinoo,"Kinoo, Kikuyu",6 Bedroom house for rent in Kinoo,"KSh 90,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,FIVE BEDROOM SIX BATHROOM TOWNHOUSE PLUS 2 - 1...,"KSh 800,000"
1 Bed House with En Suite at Karen,"karen, Karen",Beautiful Furnished Studio,"KSh 75,000"
3 Bed Townhouse with En Suite in Karen Hardy,Karen Hardy,"3 BEDROOMTOWNHOUSE TO LET IN KAREN AT KES 150,0...","KSh 150,000"
5 Bed House with En Suite at Eliud Mathu,"90, Eliud Mathu, Runda, Westlands",Exceptional and Gorgeous! Runda 5-Bedroom Stand...,"KSh 350,000"
4 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",Serene 4 Bedroom townhouse to let,"KSh 280,000"
5 Bed Villa with En Suite at La-Marina Mtwapa,"Mtwapa, La-marina Mtwapa","Creek beach view,Holiday villas available for s...","KSh 25,000"
4 Bed House with En Suite at Ruaka Road.,"Ruaka Road., Runda, Westlands","Runda House for Rent,","KSh 250,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,Stunning 5Bedroom plus dsq Townhouse to Let in...,"KSh 380,000"
3 Bed House with En Suite at Gatundu Road,"Gatundu Road, Kenyatta Road",3 BEDROOM BUNGALOW TO LET,"KSh 55,000"
4 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",4Bedroom Townhouse to Let in Kitisuru,"KSh 400,000"
6 Bed Townhouse with En Suite at Lavington,"lavington, Lavington",Exclusive Five bedroom Townhouse,"KSh 220,000"
5 Bed House with En Suite at Ndenge Road,"Ndenge road, Karen",FIVE BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KE...,"KSh 350,000"
4 Bed House with En Suite at Westland Road,"Westland road, Runda, Westlands",FOUR BEDROOMS FOR RENT RUNDA,"KSh 300,000"
4 Bed House with En Suite in Kilimani,Kilimani,"4 Bedroom + Dsq Maisonnette In Kilimani To Let,...","KSh 145,000"
5 Bed House with En Suite in Lavington,Lavington,5 BEDROOM HOUSE FOR RENT IN LAVINGTON,"KSh 340,000"
3 Bed House with En Suite at Miotoni Road,"miotoni road, Karen",3 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,"KSh 200,000"
5 Bed House with En Suite in Karen,Karen,5 bedroom house to rent in Karen (Kenya) 3KE16...,"KSh 250,000"
5 Bed Townhouse with En Suite at Eldama Ravine Road,"Eldama ravine road, Spring Valley, Westlands",Exclusive five bedroom Townhouse,"KSh 280,000"
5 Bed Villa with En Suite in Nyari,"Nyari, Westlands",Cosy Five Bedrommed Stand Alone Villa,"KSh 250,000"
5 Bed Townhouse with En Suite at Kilimani,"kilimani, Kilimani",EXECUTIVE 5 BEDROOMS TOWNHOUSE PLUS DSQ AND A G...,"KSh 230,000"
5 Bed Townhouse with Garden in Lavington,"Lavington Nairobi, Lavington",A 5bdrm full furnished townhouse to let in lavi...,"KSh 450,000"
4 Bed House with En Suite at Karen Area,"Karen area, Karen",4 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,"KSh 500,000"
3 Bed House in Muthaiga,Muthaiga,3 Bedroom Apartment in Muthaiga,"KSh 654,000"
4 Bed Townhouse with En Suite at Kanamai,"Coca-cola area, Kanamai, Mtwapa",4 Bedroom maisonette available for long term re...,"KSh 100,000"
5 Bed House with En Suite in Karen,Karen,LESS CROWDED REAL ESTATE!!FURNISHED FIVE BEDROO...,"KSh 400,000"
4 Bed House with En Suite in Runda,"Runda, Westlands",One of Kind 4 bedroom House With a Swimming Poo...,"KSh 430,000"
4 Bed House with En Suite in Lavington,Lavington,Less Crowded RealEstate! Exceptional Lavington...,"KSh 330,000"
4 Bed Villa with En Suite in Runda,"Runda, Westlands",New 4 bedroom gated community of 4 house's in r...,"KSh 250,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,PRESTIGIOUS 5 BEDROOM TOWNHOUSE FOR RENT IN LAV...,"KSh 250,000"
4 Bed House with En Suite in Westlands Area,"Westlands Area, Westlands",4 bedroom house to rent in Westlands (Kenya) 3K...,"KSh 120,000"
4 Bed House in Thome,"Thome, Roysambu",4 bedroom house to rent in Thome (Kenya) 3KE161...,"KSh 120,000"
3 Bed House with En Suite at Thome Steam Drive,"Thome steam drive, Thome, Roysambu",Three bedrooms apartment in a shared compound o...,"KSh 80,000"
5 Bed House with En Suite at Spring Valley,"01, spring valley, Spring Valley, Westlands",MODERN 5 BEDROOM TOWNHOUSE PLUS SQ TO LET IN SP...,"KSh 280,000"
3 Bed House with En Suite in Lower Kabete,"Lower Kabete, Westlands",Cosy 3 Bedroom Bungalow To Let in Lower Kabete,"KSh 150,000"
3 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,3Bedroom plus dsq Maisonette to Let in Kilelesh...,"KSh 135,000"
4 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,Kileleshwa a modern 4bedrooms plus dsq all ensu...,"KSh 320,000"
4 Bed House with En Suite in Kileleshwa,Kileleshwa,PALATIAL FOUR BEDROOM KILELESHWA TOWNHOUSE,"KSh 250,000"
2 Bed House at Karen Plain,"Karen plain, Karen",2 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,"KSh 35,000"
4 Bed Townhouse with En Suite at Paradise Lost,"Paradise Lost, Runda, Westlands",Stunning 4 Bedroomed Town House For Rent In Ken...,"KSh 190,000"
4 Bed House with En Suite in Lavington,Lavington,4 Bedroom House plus 1 Bedroom Guest wing,"KSh 300,000"
2 Bed House with En Suite in Gigiri,"Gigiri, Westlands",Furnished 2 bedroom,"KSh 280,000"
4 Bed House with En Suite in Kiambu Road,Kiambu Road,Newly Built 4-bedroom townhouse for rent in Kia...,"KSh 250,000"
3 Bed Townhouse with En Suite in Nyali Area,"Nyali, Nyali Area",Executive 3 bedroom beach side furnished apart...,"KSh 150,000"
4 Bed House with En Suite at Red Hill Off Limuru Rd,"00, Red Hill Off Limuru Rd, Runda, Westlands",Executive 4 Bedroom House all en-suite + Dsq fo...,"KSh 140,000"
5 Bed Townhouse in Lavington,Lavington,"280k, 5 bedroom","KSh 280,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,4Bedroom Townhouse to Let in Lavington,"KSh 240,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,A Serene Enclave of Five Exquisite Homes For Re...,"KSh 350,000"
4 Bed Villa with En Suite in Lavington,Lavington,Stunning 4 Bedroom All Ensuite Villa to Let in...,"KSh 450,000"
4 Bed Townhouse with En Suite in Brookside,"Brookside, Westlands",A magnificent 4 bedrooms town house with Dsq to...,"KSh 180,000"
4 Bed Townhouse with En Suite in Redhill,Redhill,Four Bedroom All En Suite To Let In Redhill,"KSh 130,000"
4 Bed Villa with En Suite in Nyali Area,"Nyali Area, Nyali",FLAWLESS CUSTOM APPOINTED 4 BEDROOM MAISONETTE...,"KSh 240,000"
4 Bed Townhouse with En Suite at Tara Road,"1, Tara Road, Runda, Westlands",Exclusive 4 Bedrooms detached Town houses to le...,"KSh 350,000"
4 Bed House in Karen,Karen,Four bedrooms plus sq Karen to rent,"KSh 250,000"
5 Bed House with En Suite at Rosslyn Lone Tree,"Rosslyn Lone tree, Rosslyn, Westlands",Captivating 5 bedroom house in a gated compound...,"KSh 530,000"
4 Bed House with En Suite in Runda,"Runda, Westlands",4 bedroom house to rent in runda,"KSh 350,000"
2 Bed House with En Suite at Muthaiga,Muthaiga,Beautiful Two bedroom cottage,"KSh 140,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,"4 Bedroom Townhouse For Rent, Lavington","KSh 350,000"
4 Bed Townhouse in Kileleshwa,Kileleshwa,4 bedroom townhouse to rent in Kileleshwa,"KSh 160,000"
5 Bed Villa with En Suite at Mzima Springs,"Mzima Springs, Lavington",Lavishly designed 5 villa plus family rm and ds...,"KSh 350,000"
5 Bed House in Riverside,"Riverside, Westlands",A Peaceful Enduring Townhouse In Riverside For...,"KSh 350,000"
5 Bed Townhouse in Lavington,Lavington,5bedroom 200k,"KSh 200,000"
4 Bed House with En Suite in Kiambu Road,Kiambu Road,Exquisite Four bedroom Townhouse To Let along K...,"KSh 170,000"
7 Bed House with En Suite in Lavington,Lavington,7 Bedroom Commercial House with Staff Quarters...,"KSh 800,000"
4 Bed House with Swimming Pool in Kiambu Road,Kiambu Road,4 bedroom house for rent in kiambu road,"KSh 160,000"
5 Bed Townhouse with En Suite in Westlands Area,"Westlands Area, Westlands",5 bed townhouse in Westlands,"KSh 160,000"
4 Bed House with En Suite at Karen,Karen,4 BEDROOM HOUSE FOR RENT IN KAREN,"KSh 350,000"
3 Bed Villa with En Suite at La Marina Mtwapa,"Creekside Marina, La Marina Mtwapa, Mtwapa",FULLY FURNISHED 3 BEDROOM COTTAGE FOR RENT,"KSh 28,000"
4 Bed House with En Suite at Near Ndovu Road,"Near ndovu road, Karen",4 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,"KSh 300,000"
5 Bed Townhouse with En Suite at Mzima Springs,"09, Mzima springs, Lavington",This townhouse has the following features; It h...,"KSh 350,000"
5 Bed House with En Suite at Kibarage Valley,"kibarage valley, Loresho, Westlands",Luxurious 5-Bedroom House For Rent,"KSh 490,000"
4 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,Killeshwa Modern Town house close to French Sch...,"KSh 320,000"
4 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",4 bedroom townhouse in Kitisuru,"KSh 300,000"
4 Bed House with En Suite in Dagoretti Corner,Dagoretti Corner,4 Bedroom Bungalow to let,"KSh 55,000"
5 Bed House with En Suite at Karen Ololua Estate,"Karen ololua estate, Karen",5 BEDROOM HOUSE FOR RENT IN KAREN,"KSh 350,000"
4 Bed House with En Suite at Runda Paradise,"00, Runda Paradise, Runda, Westlands",Executive 4 Bedroom House all en-suite + dsq Fo...,"KSh 250,000"
5 Bed House with En Suite at Ololua Forest,"Ololua Forest, Karen",Furnished House For Rent in Karen,"KSh 450,000"
6 Bed House with En Suite at Lavington,Lavington,Lavington 6 bedroom standalone to let,"KSh 250,000"
5 Bed Townhouse with En Suite at Kaptakat Road,"66, Kaptakat Road, Loresho, Westlands",Modern 5 Bedroom Townhouse in Loresho,"KSh 190,000"
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",4 bedroom townhouse to rent in runda,"KSh 380,000"
4 Bed House with En Suite at Runda,"01, Runda, Westlands",Executive 5 Bedroom House All bedroom en-suite...,"KSh 290,000"
3 Bed Villa with En Suite at Ridge,"Vipingo, Ridge",Fully furnished villa available for long-term r...,"KSh 150,000"
3 Bed Villa with En Suite in Lower Kabete,"Lower Kabete, Westlands",Luxury 3br Villa for Rent in Lower Kabete,"KSh 510,000"
4 Bed Townhouse with En Suite in Westlands Area,"Westlands Area, Westlands",Modern 4 Bedroom Town All En-suite.,"KSh 400,000"
2 Bed House with Alarm in Karen,Karen,Golden Gate Cottage,"KSh 50,000"
4 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",Modern 4 Bedroom Townhouse for rent in Kitisuru...,"KSh 350,000"
5 Bed Townhouse with En Suite in Parklands,"Parklands, Westlands",AN EXCLUSIVE 5 BEDROOMS TOWNHOUSE FOR RENT IN T...,"KSh 165,000"
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",Exquisite 4 Bedroom All Ensuite with A Swimming...,"KSh 400,000"
5 Bed Townhouse with En Suite at Lavington,"lavington, Lavington",5 BEDROOM VILLA FULLY FURNISHED,"KSh 280,000"
4 Bed House with Swimming Pool in Thika Road,Thika Road,4 bedroom house to rent in Garden City (Kenya),"KSh 230,000"
4 Bed Villa with En Suite at Fourways Junction,"Fourways Junction, Kiambu Road","4 Bedroom Villa To Let at Fourways Junction, Ki...","KSh 150,000"
6 Bed Villa with En Suite at Maziwa,"Maziwa, Lavington",Stylishly designed 6 bedrooms villa plus family...,"KSh 345,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,Luxurious 5 bedroom townhouse for rent in Lavin...,"KSh 280,000"
4 Bed Townhouse with En Suite in Joska,"Joska, Kamulu Joska Malaa","JOSKA, KAMULU","KSh 35,000"
6 Bed House at Ruaka Road,"RUAKA ROAD, Ruaka Road, Runda, Westlands",AN EXCLUSIVE BRAND NEW HOUSE FOR RENT IN RUNDA...,"KSh 600,000"
6 Bed House with En Suite at Mimosa Road,"66, Mimosa Road, Runda, Westlands",Extraordinary 5-Bedroom House For Rent in Runda,"KSh 350,000"
5 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,Newly built villas for rent along kiambu road,"KSh 120,000"
2 Bed House with Garden at Mbagathi Ridge,"Mbagathi Ridge, Karen",2 bedroom cottage for rent on Mbagathi Ridge,"KSh 204,654"
3 Bed Townhouse with En Suite in Karen,Karen,3 bedroom apartment to rent in Karen (Kenya) 3...,"KSh 180,000"
4 Bed House with En Suite in Karen,Karen,4 bedroom house to rent in Karen,"KSh 250,000"
5 Bed House with En Suite at Nyari,"Nyari, Westlands","5 Bedrooms House to Let in Nyari, Westlands","KSh 270,000"
3 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,3Bedroom Maisonette to Let in Kileleshwa,"KSh 95,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,4Bedroom Townhouse for Rent in Lavington,"KSh 210,000"
4 Bed Townhouse with En Suite at Shanzu Rd,"Shanzu RD, Spring Valley, Westlands",AN EXCLUSIVE 4 BEDROOM TOWNHOUSE TO LET IN SPRI...,"KSh 190,000"
3 Bed House with En Suite at Gigiri Road,"Gigiri road, Gigiri, Westlands",Luxurious Brand new 3 bed fully furnished house...,"KSh 530,000"
4 Bed House at Runda Grove,"2, Runda Grove, Runda, Westlands",A Cozy 4 Bedrooms double storey house set on on...,"KSh 350,000"
4 Bed Townhouse at Davide Osieli Road,"East Church Road, Davide Osieli Road, Westlands Area, Westlands",Spacious 4-Bedroom Townhouse for rent in Westla...,"KSh 80,000"
4 Bed Townhouse in Lavington,Lavington,4 bedroom all En suite-200k inclusive of servic...,"KSh 200,000"
5 Bed House with En Suite at Lavington Green Road,"87, Lavington Green Road, Lavington",newly Renovated townhouses,"KSh 350,000"
2 Bed House with En Suite at Spring Valley Road,"Spring valley road, Spring Valley, Westlands",Lovely Two bedroom House,"KSh 240,000"
5 Bed Townhouse in Lavington,Lavington,5bedroom 280k,"KSh 280,000"
3 Bed House with En Suite at Matangi,"Matangi, Ruiru",Live in Luxury! Beautifully Designed 3 Bedroom...,"KSh 40,000"
4 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",The Charm of Spring Valley Four bedroom house t...,"KSh 300,000"
3 Bed House with Swimming Pool at Grevillea Grove,"Grevillea grove, Kyuna, Westlands",Secure Living 3 Bedroom Apartment,"KSh 280,000"
4 Bed House with En Suite in Runda,"Runda, Westlands",Exclusive Homes! 4-Bedroom Villa For Rent in Ru...,"KSh 450,000"
5 Bed House with En Suite in Kyuna,"Kyuna, Westlands",Serene 5 Bedroom home to let,"KSh 350,000"
5 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,An Elegant 5Bedroom + Dsq for Rent in Kileleshw...,"KSh 180,000"
4 Bed House with Garden in Rosslyn,"Rosslyn, Westlands","TO LET: MANSION, ROSSYLN 4 BEDROOMS, 2 ENSUITE...","KSh 300,000"
4 Bed House with En Suite at Karen Area,"Karen area, Karen",4 BEDROOM HOUSE FOR RENT IN KAREN,"KSh 250,000"
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",5 Bedroom House to rent,"KSh 290,000"
4 Bed Townhouse with En Suite at Edenville Phase 1,"Edenville phase 1, Thindigua",4 BEDROOM CORNER PLOT TO LET,"KSh 150,000"
5 Bed Townhouse with En Suite at Off Peponi Road,"Off peponi road, Spring Valley, Westlands",Ultra-modern 5 bedrooms townhouse,"KSh 300,000"
4 Bed House with En Suite at Bomas Of Kenya,"Bomas of kenya, Karen",4 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,"KSh 200,000"
5 Bed Townhouse with En Suite in Karen,Karen,5 bedroom Townhouse plus dsq,"KSh 250,000"
4 Bed House with En Suite in Lavington,Lavington,4 BEDROOM TOWNHOUSE + DSQ (NEW) TO LET IN LAVIN...,"KSh 350,000"
5 Bed House with En Suite in Ongata Rongai,Ongata Rongai,Spacious 4 BR House plus Sq in Ongata Rongai,"KSh 70,000"
4 Bed House with En Suite in Runda,"Runda, Westlands",4 bedroom house to rent in runda,"KSh 450,000"
3 Bed House with En Suite at Hardy,"Hardy, Karen",Beautiful Three bedroom cottage,"KSh 120,000"
4 Bed Villa with En Suite in Kitisuru,"Kitisuru, Westlands",To Let 4 Bedroom With Dsq Home In Kitisuru West...,"KSh 400,000"
4 Bed House with En Suite at Runda,"x, runda, Runda, Westlands",Stunning 4 bedroom house to rent.,"KSh 350,000"
5 Bed Villa with En Suite at Maziwa,"Maziwa, Lavington",Stylishly designed 5 bedrooms corner villa plus...,"KSh 330,000"
4 Bed House with En Suite at Spring Valley Road,"Spring valley road, Spring Valley, Westlands",Beautiful Four bedroom cottage,"KSh 250,000"
5 Bed Townhouse with En Suite at Lavington,"Gitanga road, Lavington",5bedrooms town house,"KSh 150,000"
3 Bed Townhouse with En Suite in Westlands Area,"Westlands Area, Westlands",Furnished and Serviced 3 bed duplex with 3 ensu...,KSh 1
3 Bed Villa with En Suite at La-Marina Mtwapa,"La-marina, La-marina Mtwapa, Mtwapa",Own compound 3 Bedrooms cottage available for l...,"KSh 80,000"
6 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,Ambassadorial 6 Bedroom All En-suite Townhouse.,"KSh 360,000"
1 Bed Villa with En Suite at Rosslyn,"Rosslyn, Westlands",Furnished 1 bedroom house to let,"KSh 180,000"
4 Bed Townhouse in Thika,Thika,4 Bedroom Townhouse to rent in Thika,"KSh 60,000"
2 Bed House with En Suite in Karen,Karen,Matrazzos Apartment,"KSh 60,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,Modern and Spacious 4 Bedrooms ensuite plus Fam...,"KSh 250,000"
4 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",COASTAL STYLE 4 BEDROOM MAISONETTE FOR RENT IN...,"KSh 120,000"
5 Bed House with En Suite in Ruiru,Ruiru,5 Bedroom Townhouse To Let In Ruiru,"KSh 150,000"
5 Bed Villa with En Suite in Muthaiga,Muthaiga,5 Bedroom Townhouse in Muthaiga,"KSh 350,000"
1 Bed House with En Suite at Muthaiga,Muthaiga,Beautiful furnished one bedroom cottage,"KSh 170,000"
3 Bed House with En Suite at Milimani Estate.,"0721N/0723p, within State House Road, Milimani Estate., State House",Endearing Elegance; three bedroom fully furnish...,"KSh 170,000"
1 Bed House with Swimming Pool at Off Peponi Road,"Off Peponi road, Spring Valley, Westlands",Beautiful One Bedroom Loft Guest House,"KSh 105,000"
